receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes	original_P0_receptor
5ht2c_human	-0.25057066941638595	0.5006587506276012	0.7512294200439872	1	Gq/11	False
aa2ar_human	0.9920897689485654	0.713338857300073	-0.2787509116484924	1	Gs	True
acm3_human	-0.5519867780959518	-0.912338730730906	-0.3603519526349543	1	Gq/11	True
adrb2_human	1.0159693221671695	0.7957079424728759	-0.22026137969429355	1	Gs	True
cnr1_human	0.02593589093487772	-0.021213665880332855	-0.047149556815210575	2	Gi/o;Gs	False
ffar1_human	-0.7177587915659844	-0.7177587915659844	0.0	2	Gi/o;Gq/11	False
fpr2_human	0.11378301752608194	-0.010006418354638558	-0.1237894358807205	1	Gi/o	False
gp101_human	0.6638012989390567	0.5488125333059203	-0.11498876563313637	1	Gs	True
gpr34_human	1.318877317930923	0.9979582223467632	-0.3209190955841599	1	Gi/o	True
gpr6_human	0.6609193760962734	0.44530766205904426	-0.21561171403722912	1	Gs	False
hcar2_human	-0.8070054330276657	0.07893805612727117	0.8859434891549368	1	Gi/o	True
hcar3_human	-0.059595610569184276	-0.001972972843582943	0.05762263772560133	1	Gi/o	False
lpar1_human	0.1195968928596452	0.11959689285964517	0.0	2	Gi/o;Gq/11	True
mrgx2_human	-0.012395215832350925	-0.012395215832350925	0.0	2	Gi/o;Gq/11	True
mrgx4_human	0.13825871874461354	0.13816038208953524	-9.833665507830158e-05	1	Gq/11	False
ntr1_rat	0.025696909395532486	0.025696909395532486	0.0	2	Gi/o;Gq/11	False
oprd_human	0.7035911013464908	0.6186372943247413	-0.08495380702174943	1	Gi/o	True
opsd_bovin	-0.2220300638041514	0.01882031730479955	0.24085038110895096	1	Gi/o	True
p2ry1_human	0.2960885187426555	-0.1252568243397319	-0.42134534308238736	2	Gq/11;Gs	False
p2y12_human	0.08971282993421481	0.5615455130139019	0.47183268307968707	1	Gi/o	False
par1_human	0.00036828414625084127	0.00036828414625084127	0.0	2	Gi/o;Gq/11	False
pe2r3_human	-0.01234657717012183	0.027133636986329368	0.0394802141564512	1	Gi/o	False
ptafr_human	0.05230783270807848	-0.2539990826853198	-0.30630691539339827	1	Gi/o	False
taar1_mouse	0.22834602235927626	0.22834602235927626	0.0	2	Gq/11;Gs	True
taar9_mouse	0.11679959315241745	0.1529743010320948	0.03617470787967736	1	Gs	True
