population	receptor_name	captured_class	outer_fold	partner_free_margin	partner_free_correct	nearest_any_identity	nearest_any_receptor	nearest_any_class	nearest_same_class_identity	nearest_same_class_receptor
P1_terminal_strict	aa2ar_human	Gs	2	-0.5798882947355931	False	0.6612903225806451	taar9_mouse	Gs	0.6612903225806451	taar9_mouse
P1_terminal_strict	acm3_human	Gq/11	3	-0.3434798011520491	False	0.5967741935483871	aa2ar_human	Gs	0.5645161290322581	taar1_mouse
P1_terminal_strict	adrb2_human	Gs	0	-0.49998346684075606	False	0.65	aa2ar_human	Gs	0.65	aa2ar_human
P1_terminal_strict	gp101_human	Gs	4	-0.2880770761855337	False	0.36507936507936506	taar9_mouse	Gs	0.36507936507936506	taar9_mouse
P1_terminal_strict	gpr34_human	Gi/o	0	0.6122755088458502	True	0.5098039215686274	hcar3_human	Gi/o	0.5098039215686274	hcar3_human
P1_terminal_strict	hcar2_human	Gi/o	4	0.9305709573003486	True	0.5	gpr34_human	Gi/o	0.5	gpr34_human
P1_terminal_strict	hcar3_human	Gi/o	4	0.6852464366764527	True	0.5098039215686274	gpr34_human	Gi/o	0.5098039215686274	gpr34_human
P1_terminal_strict	lpar1_human	Gi/o	2	0.32140121145024475	True	0.4262295081967213	acm3_human	Gq/11	0.40384615384615385	gpr34_human
P1_terminal_strict	lpar1_human	Gq/11	2	-0.32140121145024475	False	0.4262295081967213	acm3_human	Gq/11	0.4262295081967213	acm3_human
P1_terminal_strict	mrgx2_human	Gi/o	0	-0.31973832108933736	False	0.9285714285714286	mrgx4_human	Gq/11	0.3684210526315789	lpar1_human
P1_terminal_strict	mrgx2_human	Gq/11	0	0.31973832108933736	True	0.9285714285714286	mrgx4_human	Gq/11	0.9285714285714286	mrgx4_human
P1_terminal_strict	mrgx4_human	Gq/11	2	0.4196606296889948	True	0.9285714285714286	mrgx2_human	Gi/o	0.9285714285714286	mrgx2_human
P1_terminal_strict	oprd_human	Gi/o	3	-0.03063810003986711	False	0.5166666666666667	adrb2_human	Gs	0.4666666666666667	hcar3_human
P1_terminal_strict	opsd_bovin	Gi/o	1	-0.09577476107791849	False	0.4426229508196721	oprd_human	Gi/o	0.4426229508196721	oprd_human
P1_terminal_strict	pe2r3_human	Gi/o	1	0.32680057418189445	True	0.3770491803278688	aa2ar_human	Gs	0.3620689655172414	mrgx2_human
P1_terminal_strict	taar1_mouse	Gq/11	1	-0.8361430551142355	False	0.6612903225806451	taar9_mouse	Gs	0.5645161290322581	acm3_human
P1_terminal_strict	taar1_mouse	Gs	1	0.8361430551142355	True	0.6612903225806451	taar9_mouse	Gs	0.6612903225806451	taar9_mouse
P1_terminal_strict	taar9_mouse	Gs	3	0.10382101725660081	True	0.6612903225806451	aa2ar_human	Gs	0.6612903225806451	aa2ar_human
