receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes
aa2ar_human	0.12028091492092063	-0.8567499383597774	-0.977030853280698	1	Gs
acm3_human	0.05290296839002734	0.32756067439229597	0.27465770600226863	1	Gq/11
adrb2_human	0.12437608786738308	0.8719848294788419	0.7476087416114588	1	Gs
gp101_human	-0.0950173740923762	0.8905471346906031	0.9855645087829793	1	Gs
gpr34_human	0.3886313140293431	0.8391695881431454	0.45053827411380226	1	Gi/o
hcar2_human	-0.22787299724879345	0.4628464533399798	0.6907194505887733	1	Gi/o
lpar1_human	0.8120284647952111	0.09832247478230938	-0.7137059900129017	2	Gi/o;Gq/11
mrgx2_human	0.5573631859828945	0.5573631859828945	0.0	2	Gi/o;Gq/11
oprd_human	1.803291969926823	0.8353376590111531	-0.9679543109156701	1	Gi/o
opsd_bovin	0.03055025643608944	0.9781318169132575	0.947581560477168	1	Gi/o
taar1_mouse	0.14936285760438373	0.14936285760438373	0.0	2	Gq/11;Gs
taar9_mouse	1.0404283588674814	0.8178162025009119	-0.2226121563665696	1	Gs
