receptor_name	margin_gain	bound_margin	partner_free_margin	n_units	captured_classes	original_P0_receptor
aa2ar_human	0.7249547586388738	0.030606593554976136	-0.6943481650838976	1	Gs	True
acm3_human	-0.05466676583492491	-0.5970140454392985	-0.5423472796043736	1	Gq/11	True
adrb2_human	1.2091531996892981	0.9216873497051216	-0.28746584998417657	1	Gs	True
gp101_human	0.5389789571377589	0.6490147128901598	0.11003575575240088	1	Gs	True
gpr34_human	0.30044648582743194	0.920836877162262	0.6203903913348301	1	Gi/o	True
hcar2_human	-0.007940466647403333	0.9808587853735808	0.9887992520209842	1	Gi/o	True
hcar3_human	0.12071042098760032	0.8995324575612638	0.7788220365736634	1	Gi/o	False
lpar1_human	0.05607055660139593	0.04373043015101691	-0.012340126450379046	2	Gi/o;Gq/11	True
mrgx2_human	0.438899133804353	0.4331237850919847	-0.0057753487123684	2	Gi/o;Gq/11	True
mrgx4_human	0.12673736684598963	0.18262997362900069	0.055892606783011056	1	Gq/11	False
oprd_human	-0.5802336145584943	0.26852802639830925	0.8487616409568036	1	Gi/o	True
opsd_bovin	-0.14051088707437376	0.6734154424485432	0.813926329522917	1	Gi/o	True
taar1_mouse	0.34608902839046	0.3460890283904601	0.0	2	Gq/11;Gs	True
taar9_mouse	-0.1365624323259354	0.024689023663851173	0.16125145598978657	1	Gs	True
